NGI ID	User ID	RC	Mreads	>=Q30
P36109_1001	ND142_1	NA	10.31	90.07
P36109_1002	ND142_2	NA	15.38	90.00
P36109_1003	ND142_3	NA	23.89	89.44
P36109_1004	ND157_1	NA	274.09	92.16
P36109_1005	ND157_2	NA	669.13	92.06
P36109_1006	ND157_3	NA	664.40	92.34
P36109_1007	ND158_1	NA	107.97	90.72
P36109_1008	ND158_2	NA	106.37	91.67
P36109_1009	ND158_3	NA	99.83	91.36
P36109_1010	ND161_1	NA	27.50	86.32
P36109_1011	ND161_2	NA	22.31	87.60
P36109_1012	ND161_3	NA	30.85	87.87
P36109_1013	ND164_1	NA	22.12	91.18
P36109_1014	ND164_2	NA	5.58	90.69
P36109_1015	ND164_3	NA	28.54	91.24
P36109_1016	ND165_1	NA	116.56	89.29
P36109_1017	ND165_2	NA	106.24	90.43
P36109_1018	ND165_3	NA	136.10	90.30
P36109_1019	ND166_1	NA	20.17	91.36
P36109_1020	ND166_2	NA	12.10	89.93
P36109_1021	ND166_3	NA	21.15	90.57
P36109_1022	ND167_1	NA	13.85	90.84
P36109_1023	ND167_2	NA	20.83	91.37
P36109_1024	ND167_3	NA	16.57	90.12
P36109_1025	ND168_1	NA	24.42	90.07
P36109_1026	ND168_2	NA	28.60	90.60
P36109_1027	ND168_3	NA	28.68	90.51
P36109_1028	ND169_1	NA	239.53	92.94
P36109_1029	ND169_2	NA	339.67	92.67
P36109_1030	ND169_3	NA	351.98	92.47
P36109_1031	ND170_1	NA	10.48	91.21
P36109_1032	ND170_2	NA	21.47	91.77
P36109_1033	ND170_3	NA	17.84	91.71
P36109_1034	ND171_1	NA	30.47	90.23
P36109_1035	ND171_2	NA	36.72	89.92
P36109_1036	ND171_3	NA	51.11	91.22
P36109_1037	ND178_1	NA	15.70	92.28
P36109_1038	ND178_2	NA	20.22	91.97
P36109_1039	ND178_3	NA	15.07	91.31
P36109_1040	ND180_1	NA	33.25	91.79
P36109_1041	ND180_2	NA	11.82	90.98
P36109_1042	ND180_3	NA	15.50	90.51
P36109_1043	ND182_1	NA	23.08	90.51
P36109_1044	ND182_2	NA	18.42	90.23
P36109_1045	ND182_3	NA	14.73	89.93
P36109_1046	ND183_1	NA	52.13	85.10
P36109_1047	ND183_2	NA	44.65	89.08
P36109_1048	ND183_3	NA	40.58	89.04
P36109_1049	ND184_1	NA	27.77	87.86
P36109_1050	ND184_2	NA	25.65	88.49
P36109_1051	ND184_3	NA	32.96	87.31
P36109_1052	ND187_1	NA	23.30	89.31
P36109_1053	ND187_2	NA	23.66	89.42
P36109_1054	ND187_3	NA	30.46	89.92
P36109_1055	ND188_1	NA	49.83	90.15
P36109_1056	ND188_2	NA	19.52	90.70
P36109_1057	ND188_3	NA	28.22	90.97
P36109_1058	ND195_1	NA	116.52	90.65
P36109_1059	ND195_2	NA	95.54	91.43
P36109_1060	ND195_3	NA	6.31	91.09
P36109_1061	ND196_1	NA	29.50	90.01
P36109_1062	ND196_2	NA	31.78	91.04
P36109_1063	ND196_3	NA	36.35	90.15
P36109_1064	ND197_1	NA	33.60	89.86
P36109_1065	ND197_2	NA	36.77	90.83
P36109_1066	ND197_3	NA	30.54	90.99
P36109_1067	ND198_1	NA	32.08	91.02
P36109_1068	ND198_2	NA	61.00	90.87
P36109_1069	ND198_3	NA	58.24	92.63
P36109_1070	ND199_1	NA	13.17	89.14
P36109_1071	ND199_2	NA	17.95	89.69
P36109_1072	ND199_3	NA	22.88	90.08
P36109_1073	ND200_1	NA	30.67	91.91
P36109_1074	ND200_2	NA	14.20	92.41
P36109_1075	ND200_3	NA	14.70	92.38
P36109_1076	ND201_1	NA	25.25	91.66
P36109_1077	ND201_2	NA	24.80	90.68
P36109_1078	ND201_3	NA	3.70	91.46
P36109_1079	ND202_1	NA	18.10	91.03
P36109_1080	ND202_2	NA	24.16	91.65
P36109_1081	ND202_3	NA	30.03	92.50
P36109_1082	ND203_1	NA	23.54	90.81
P36109_1083	ND203_2	NA	20.69	91.12
P36109_1084	ND203_3	NA	23.68	91.26
P36109_1085	ND204_1	NA	29.97	91.74
P36109_1086	ND204_2	NA	6.88	90.54
P36109_1087	ND204_3	NA	22.03	91.67
P36109_1088	ND205_1	NA	33.54	91.09
P36109_1089	ND205_2	NA	29.15	90.91
P36109_1090	ND205_3	NA	18.28	91.25
P36109_1091	ND206_1	NA	17.84	90.66
P36109_1092	ND206_2	NA	23.96	90.51
P36109_1093	ND206_3	NA	17.62	90.74
P36109_1094	ND311_1	NA	50.93	85.46
P36109_1095	ND311_2	NA	41.39	87.01
P36109_1096	ND311_3	NA	34.98	87.44
P36109_1097	ND313_1	NA	26.38	85.14
P36109_1098	ND313_2	NA	34.88	86.85
