NGI ID	User ID	RC	Mreads	>=Q30
P36109_1099	ND313_3	NA	25.82	86.13
P36109_1100	ND314_1	NA	87.41	88.42
P36109_1101	ND314_2	NA	67.81	89.08
P36109_1102	ND314_3	NA	65.17	88.62
P36109_1103	ND315_1	NA	33.39	86.82
P36109_1104	ND315_2	NA	53.75	86.74
P36109_1105	ND315_3	NA	23.18	85.57
P36109_1106	ND316_1	NA	30.31	86.12
P36109_1107	ND316_2	NA	30.86	86.13
P36109_1108	ND316_3	NA	27.39	85.48
P36109_1109	ND317_1	NA	41.43	86.62
P36109_1110	ND317_2	NA	9.95	88.37
P36109_1111	ND317_3	NA	36.40	88.54
P36109_1112	ND319_1	NA	75.25	91.74
P36109_1113	ND319_2	NA	110.36	90.82
P36109_1114	ND319_3	NA	125.34	92.05
P36109_1115	ND320_1	NA	30.79	89.10
P36109_1116	ND320_2	NA	22.99	89.84
P36109_1117	ND320_3	NA	21.10	89.38
P36109_1118	ND321_1	NA	20.97	91.72
P36109_1119	ND321_2	NA	30.02	92.26
P36109_1120	ND321_3	NA	26.54	91.56
P36109_1121	ND322_1	NA	21.89	90.89
P36109_1122	ND322_2	NA	47.89	91.09
P36109_1123	ND322_3	NA	18.98	91.09
P36109_1124	ND323_1	NA	30.20	88.49
P36109_1125	ND323_2	NA	21.16	89.59
P36109_1126	ND323_3	NA	35.76	89.82
P36109_1127	ND324_1	NA	19.04	87.35
P36109_1128	ND324_2	NA	37.78	86.75
P36109_1129	ND324_3	NA	20.19	87.11
P36109_1130	ND325_1	NA	12.24	85.70
P36109_1131	ND325_2	NA	35.11	86.76
P36109_1132	ND325_3	NA	36.13	84.33
P36109_1133	ND326_1	NA	20.43	86.25
P36109_1134	ND326_2	NA	36.20	86.49
P36109_1135	ND326_3	NA	32.83	86.53
P36109_1136	ND328_1	NA	26.88	88.31
P36109_1137	ND328_2	NA	7.70	86.87
P36109_1138	ND328_3	NA	38.63	87.13
P36109_1139	ND329_1	NA	40.25	88.30
P36109_1140	ND329_2	NA	20.40	87.70
P36109_1141	ND329_3	NA	48.78	88.18
P36109_1142	ND334_1	NA	29.44	84.58
P36109_1143	ND334_2	NA	35.96	84.88
P36109_1144	ND334_3	NA	26.38	85.35
P36109_1145	ND336_1	NA	18.81	88.39
P36109_1146	ND336_2	NA	23.86	87.82
P36109_1147	ND336_3	NA	25.57	88.83
P36109_1148	ND337_1	NA	29.30	88.57
P36109_1149	ND337_2	NA	40.82	88.79
P36109_1150	ND337_3	NA	22.62	88.50
P36109_1151	ND343_1	NA	38.12	84.91
P36109_1152	ND343_2	NA	34.35	85.30
P36109_1153	ND343_3	NA	31.95	87.01
P36109_1154	ND391_1	NA	25.42	87.99
P36109_1155	ND391_2	NA	39.03	87.37
P36109_1156	ND391_3	NA	3.15	87.14
P36109_1157	ND392_1	NA	22.41	91.79
P36109_1158	ND392_2	NA	19.74	91.54
P36109_1159	ND392_3	NA	26.84	91.69
P36109_1160	ND393_1	NA	14.18	89.36
P36109_1161	ND393_2	NA	13.63	90.00
P36109_1162	ND393_3	NA	23.29	90.63
P36109_1163	ND394_1	NA	31.43	89.57
P36109_1164	ND394_2	NA	9.79	89.51
P36109_1165	ND394_3	NA	26.36	90.72
P36109_1166	ND395_1	NA	12.27	91.32
P36109_1167	ND395_2	NA	35.19	92.02
P36109_1168	ND395_3	NA	7.59	91.13
P36109_1169	ND396_1	NA	14.93	89.96
P36109_1170	ND396_2	NA	21.32	90.47
P36109_1171	ND396_3	NA	20.42	90.56
P36109_1172	ND397_1	NA	45.80	89.61
P36109_1173	ND397_2	NA	32.69	89.41
P36109_1174	ND397_3	NA	15.78	90.09
P36109_1175	ND398_1	NA	54.95	88.65
P36109_1176	ND398_2	NA	29.53	86.97
P36109_1177	ND398_3	NA	0.98	88.27
P36109_1178	ND399_1	NA	28.17	90.75
P36109_1179	ND399_2	NA	24.32	90.45
P36109_1180	ND399_3	NA	15.18	90.74
P36109_1181	ND400_1	NA	36.02	89.75
P36109_1182	ND400_2	NA	27.90	90.28
P36109_1183	ND400_3	NA	25.65	90.91
P36109_1184	ND401_1	NA	20.32	91.20
P36109_1185	ND401_2	NA	28.75	89.07
P36109_1186	ND401_3	NA	33.37	91.44
P36109_1187	ND402_1	NA	16.11	89.45
P36109_1188	ND402_2	NA	19.11	88.40
P36109_1189	ND402_3	NA	21.00	90.04
P36109_1190	ND403_1	NA	25.14	90.91
P36109_1191	ND403_2	NA	5.36	90.54
P36109_1192	ND403_3	NA	13.59	89.61
P36109_1193	ND404_1	NA	24.91	90.89
P36109_1194	ND404_2	NA	23.57	91.00
P36109_1195	ND404_3	NA	12.60	90.74
P36109_1196	ND405_1	NA	19.15	89.70
P36109_1197	ND405_2	NA	16.06	90.58
P36109_1198	ND405_3	NA	17.96	89.60
P36109_1199	ND407_1	NA	12.39	90.60
P36109_1200	ND407_2	NA	16.21	91.50
P36109_1201	ND407_3	NA	20.34	91.85
P36109_1202	ND408_1	NA	15.85	91.06
P36109_1203	ND408_2	NA	15.25	91.96
P36109_1204	ND408_3	NA	14.26	92.23
P36109_1205	ND409_1	NA	27.80	91.26
P36109_1206	ND409_2	NA	0.40	91.73
P36109_1207	ND409_3	NA	28.20	91.03
P36109_1208	ND411_1	NA	23.72	90.39
P36109_1209	ND411_2	NA	18.41	91.46
P36109_1210	ND411_3	NA	15.51	91.89
P36109_1211	ND414_1	NA	20.36	91.55
P36109_1212	ND414_2	NA	22.15	91.53
P36109_1213	ND414_3	NA	34.96	91.89
P36109_1214	ND415_1	NA	31.32	91.03
P36109_1215	ND415_2	NA	29.90	92.07
P36109_1216	ND415_3	NA	23.54	91.23
P36109_1217	ND417_1	NA	40.10	91.86
P36109_1218	ND417_2	NA	10.66	92.01
P36109_1219	ND417_3	NA	37.66	92.22
P36109_1220	ND418_1	NA	32.39	91.39
P36109_1221	ND418_2	NA	20.14	91.48
P36109_1222	ND418_3	NA	20.85	91.59
P36109_1223	ND440_1	NA	29.24	88.59
P36109_1224	ND440_2	NA	37.43	90.29
P36109_1225	ND440_3	NA	37.02	89.24
P36109_1226	ND443_1	NA	32.52	91.83
P36109_1227	ND443_2	NA	16.28	92.31
P36109_1228	ND443_3	NA	10.09	91.82
P36109_1229	ND448_1	NA	32.43	91.89
P36109_1230	ND448_2	NA	24.94	92.23
P36109_1231	ND448_3	NA	33.81	92.47
P36109_1232	ND450_1	NA	27.14	91.93
P36109_1233	ND450_2	NA	23.42	91.90
P36109_1234	ND450_3	NA	23.31	92.57
P36109_1235	ND454_1	NA	19.74	92.02
P36109_1236	ND454_2	NA	42.58	92.40
P36109_1237	ND454_3	NA	44.09	91.40
P36109_1238	ND455_1	NA	22.25	92.69
P36109_1239	ND455_2	NA	21.77	92.96
P36109_1240	ND455_3	NA	22.47	92.21
P36109_1241	ND456_1	NA	17.95	92.38
P36109_1242	ND456_2	NA	26.97	92.54
P36109_1243	ND456_3	NA	39.32	92.17
P36109_1244	ND459_1	NA	22.13	92.57
P36109_1245	ND459_2	NA	22.17	92.66
P36109_1246	ND459_3	NA	21.23	91.60
P36109_1247	ND460_1	NA	52.13	88.17
P36109_1248	ND460_2	NA	20.91	88.62
P36109_1249	ND460_3	NA	44.18	90.43
P36109_1250	ND461_1	NA	27.46	88.23
P36109_1251	ND461_2	NA	23.25	88.60
P36109_1252	ND461_3	NA	42.57	89.35
P36109_1253	ND463_1	NA	88.69	90.03
P36109_1254	ND463_2	NA	72.52	90.50
P36109_1255	ND463_3	NA	106.30	90.43
P36109_1256	ND464_1	NA	18.67	92.44
P36109_1257	ND464_2	NA	19.55	91.53
P36109_1258	ND464_3	NA	24.69	92.01
P36109_1259	ND467_1	NA	19.04	92.67
P36109_1260	ND467_2	NA	16.86	92.55
P36109_1261	ND467_3	NA	21.96	92.95
P36109_1262	ND163_1	NA	13.65	87.88
P36109_1263	ND163_2	NA	75.01	89.00
P36109_1264	ND163_3	NA	63.99	88.66
P36109_1265	ND302_1	NA	83.00	83.66
P36109_1266	ND302_2	NA	82.50	83.40
P36109_1267	ND302_3	NA	107.38	84.01
P36109_1268	ND304_1	NA	93.02	82.84
P36109_1269	ND304_2	NA	114.90	84.68
P36109_1270	ND304_3	NA	97.73	85.48
P36109_1271	ND305_1	NA	80.02	83.04
P36109_1272	ND305_2	NA	103.29	84.46
P36109_1273	ND305_3	NA	96.31	83.81
P36109_1274	ND306_1	NA	119.13	84.17
P36109_1275	ND306_2	NA	82.74	83.68
P36109_1276	ND306_3	NA	126.37	84.86
P36109_1277	ND307_1	NA	120.08	83.27
P36109_1278	ND307_2	NA	144.27	84.04
P36109_1279	ND307_3	NA	55.79	84.05
P36109_1280	ND308_1	NA	46.77	84.27
P36109_1281	ND308_2	NA	85.97	84.09
P36109_1282	ND308_3	NA	85.50	83.97
P36109_1283	ND309_1	NA	85.28	84.02
P36109_1284	ND309_2	NA	79.86	85.18
P36109_1285	ND309_3	NA	119.37	84.56
P36109_1286	ND312_1	NA	46.06	86.59
P36109_1287	ND312_2	NA	42.97	86.36
P36109_1288	ND312_3	NA	47.26	86.45
P36109_1289	ND330_1	NA	58.90	85.71
P36109_1290	ND330_2	NA	51.92	86.32
P36109_1291	ND330_3	NA	59.88	86.41
P36109_1292	ND331_1	NA	80.48	85.65
P36109_1293	ND331_2	NA	49.86	86.00
P36109_1294	ND331_3	NA	71.94	85.72
P36109_1295	ND332_1	NA	20.88	86.00
P36109_1296	ND332_2	NA	102.63	85.48
P36109_1297	ND332_3	NA	82.81	86.69
P36109_1298	ND333_1	NA	64.71	86.06
P36109_1299	ND333_2	NA	51.57	86.51
P36109_1300	ND333_3	NA	34.87	86.65
P36109_1301	ND335_1	NA	66.75	86.73
P36109_1302	ND335_2	NA	60.67	87.45
P36109_1303	ND335_3	NA	59.44	86.81
P36109_1304	ND342_1	NA	91.65	85.77
P36109_1305	ND342_2	NA	3.19	85.62
P36109_1306	ND342_3	NA	74.28	86.83
P36109_1307	ND410_1	NA	45.25	92.24
P36109_1308	ND410_2	NA	43.84	91.47
P36109_1309	ND410_3	NA	41.60	91.93
