NGI ID	User ID	RC	Mreads	>=Q30
P37012_1133	ND392_1	NA	19.67	92.46
P37012_1134	ND392_2	NA	17.79	92.59
P37012_1135	ND392_3	NA	24.23	93.19
P37012_1136	ND393_1	NA	6.35	91.92
P37012_1137	ND393_2	NA	6.16	92.23
P37012_1138	ND393_3	NA	10.74	91.46
P37012_1139	ND394_1	NA	7.45	90.88
P37012_1140	ND394_2	NA	2.22	92.21
P37012_1141	ND394_3	NA	6.06	91.02
P37012_1142	ND395_1	NA	3.20	91.50
P37012_1143	ND395_2	NA	9.07	91.90
P37012_1144	ND395_3	NA	1.97	93.26
P37012_1145	ND396_1	NA	3.84	92.29
P37012_1146	ND396_2	NA	5.36	91.29
P37012_1147	ND396_3	NA	5.37	92.18
P37012_1148	ND397_1	NA	10.15	91.64
P37012_1149	ND397_2	NA	7.16	92.04
P37012_1150	ND397_3	NA	3.48	91.78
P37012_1151	ND398_1	NA	3.73	89.79
P37012_1152	ND398_2	NA	2.00	90.42
P37012_1153	ND398_3	NA	0.07	91.61
P37012_1154	ND399_1	NA	4.10	92.38
P37012_1155	ND399_2	NA	3.52	91.89
P37012_1156	ND399_3	NA	2.23	92.31
P37012_1157	ND400_1	NA	5.14	92.15
P37012_1158	ND400_2	NA	4.00	91.20
P37012_1159	ND400_3	NA	3.55	91.12
P37012_1160	ND401_1	NA	16.63	91.81
P37012_1161	ND401_2	NA	24.29	91.40
P37012_1162	ND401_3	NA	27.64	92.43
P37012_1163	ND402_1	NA	8.05	91.81
P37012_1164	ND402_2	NA	9.35	89.31
P37012_1165	ND402_3	NA	10.88	89.77
P37012_1166	ND403_1	NA	6.18	91.84
P37012_1167	ND403_2	NA	1.31	92.90
P37012_1168	ND403_3	NA	3.18	92.35
P37012_1169	ND404_1	NA	22.52	93.63
P37012_1170	ND404_2	NA	21.35	93.17
P37012_1171	ND404_3	NA	11.21	93.12
P37012_1172	ND405_1	NA	14.64	89.80
P37012_1173	ND405_2	NA	12.14	90.52
P37012_1174	ND405_3	NA	14.12	92.03
P37012_1175	ND407_1	NA	4.66	92.14
P37012_1176	ND407_2	NA	5.85	91.42
P37012_1177	ND407_3	NA	7.31	91.68
P37012_1178	ND408_1	NA	21.22	92.64
P37012_1179	ND408_2	NA	20.20	93.58
P37012_1180	ND408_3	NA	18.79	93.33
P37012_1181	ND409_1	NA	1.70	91.34
P37012_1182	ND409_2	NA	0.02	92.71
P37012_1183	ND409_3	NA	1.68	91.51
P37012_1184	ND411_1	NA	6.13	91.98
P37012_1185	ND411_2	NA	4.75	92.00
P37012_1186	ND411_3	NA	3.83	92.17
P37012_1187	ND414_1	NA	2.20	92.36
P37012_1188	ND414_2	NA	2.40	93.86
P37012_1189	ND414_3	NA	3.82	94.07
P37012_1190	ND415_1	NA	3.77	92.78
P37012_1191	ND415_2	NA	3.45	92.26
P37012_1192	ND415_3	NA	2.88	93.49
P37012_1193	ND417_1	NA	5.33	92.08
P37012_1194	ND417_2	NA	1.39	93.93
