NGI ID	User ID	RC	Mreads	>=Q30
P35202_1001	PPH01	NA	6.27	81.77
P35202_1002	PPH02	NA	4.43	81.64
P35202_1003	PPH03	NA	5.03	79.06
P35202_1004	PPH04	NA	5.11	81.56
P35202_1005	PPH05	NA	3.58	79.88
P35202_1006	PPH06	NA	2.62	80.66
P35202_1007	PPH07	NA	4.68	80.03
P35202_1008	PPH08	NA	7.04	83.10
P35202_1009	PPH09	NA	4.79	80.40
P35202_1010	PPH10	NA	2.17	82.18
P35202_1011	PPH11	NA	2.44	80.52
P35202_1012	PPH12	NA	5.13	81.28
P35202_1013	PPH13	NA	3.88	81.57
P35202_1014	PPH14	NA	5.25	79.28
P35202_1015	PPH15	NA	4.24	82.41
P35202_1016	PPH16	NA	5.11	78.86
P35202_1017	PPH17	NA	4.41	80.56
P35202_1018	PPH18	NA	7.57	81.77
P35202_1019	PPH19	NA	8.42	78.95
P35202_1020	PPH21	NA	3.20	80.16
P35202_1021	PPH22	NA	6.09	81.68
P35202_1022	PPH23	NA	1.53	81.45
P35202_1023	PPH24	NA	2.39	80.69
P35202_1024	PPH25	NA	0.78	81.48
P35202_1025	PPH26	NA	2.03	80.71
P35202_1026	PPH27	NA	1.98	83.26
P35202_1027	945149	NA	6.21	82.24
P35202_1028	ND385	NA	3.37	70.29
P35202_1029	ND386	NA	3.20	78.60
P35202_1030	ND387	NA	3.84	81.21
P35202_1031	ND388	NA	4.92	80.85
P35202_1032	ND389	NA	2.50	79.26
P35202_1033	ND390	NA	4.72	79.64
P35202_1034	ND442	NA	4.32	76.29
P35202_1035	ND443	NA	6.19	77.15
P35202_1036	ND444	NA	5.16	81.54
P35202_1037	ND445	NA	5.93	79.93
P35202_1038	ND446	NA	6.23	79.96
P35202_1039	ND447	NA	6.45	81.39
P35202_1040	ND448	NA	5.83	80.60
P35202_1041	ND449	NA	7.78	80.13
P35202_1042	ND450	NA	6.17	78.49
P35202_1043	ND451	NA	5.32	76.36
P35202_1044	ND452	NA	4.50	79.73
P35202_1045	ND453	NA	4.10	79.15
P35202_1046	ND454	NA	6.12	80.32
P35202_1047	ND455	NA	3.04	80.46
P35202_1048	ND456	NA	2.59	79.15
P35202_1049	ND464	NA	4.66	77.22
P35202_1050	ND465	NA	4.52	80.06
P35202_1051	ND466	NA	9.99	81.87
P35202_1052	ND317	NA	5.20	73.28
P35202_1053	ND318	NA	3.70	76.42
P35202_1054	ND319	NA	6.37	82.07
P35202_1055	ND320	NA	3.25	76.22
P35202_1056	ND321	NA	5.25	82.57
P35202_1057	ND322	NA	2.99	80.40
P35202_1058	ND323	NA	4.72	81.88
P35202_1059	ND324	NA	5.66	76.16
P35202_1060	ND325	NA	3.13	76.73
P35202_1061	ND326	NA	4.90	74.15
P35202_1062	ND327	NA	1.99	68.24
P35202_1063	ND328	NA	5.57	78.45
P35202_1064	ND329	NA	3.13	74.55
P35202_1065	ND332	NA	3.23	73.26
P35202_1066	ND333	NA	3.23	72.55
P35202_1067	ND334	NA	2.00	75.13
P35202_1068	ND335	NA	1.43	75.22
P35202_1069	ND336	NA	3.58	73.99
P35202_1070	ND337	NA	4.71	80.10
P35202_1071	ND338	NA	4.84	67.14
P35202_1072	lib_blank_250324	NA	0.00	74.11
P35202_1073	ND391	NA	6.94	78.51
P35202_1074	ND392	NA	6.08	78.80
P35202_1075	ND393	NA	4.60	78.68
P35202_1076	ND394	NA	3.44	78.92
P35202_1077	ND395	NA	3.68	77.89
P35202_1078	ND396	NA	2.30	79.31
P35202_1079	ND397	NA	4.56	76.75
P35202_1080	ND398	NA	5.63	72.01
P35202_1081	ND399	NA	3.91	79.21
P35202_1082	ND400	NA	2.38	79.34
P35202_1083	ND401	NA	6.02	80.53
P35202_1084	ND402	NA	5.76	79.59
P35202_1085	ND403	NA	3.08	79.57
P35202_1086	ND404	NA	3.76	78.91
P35202_1087	ND405	NA	4.62	80.54
P35202_1088	ND406	NA	4.33	77.40
P35202_1089	ND407	NA	4.51	78.90
P35202_1090	ND408	NA	2.24	81.67
P35202_1091	ND409	NA	2.85	79.40
P35202_1092	ND410	NA	1.96	78.25
P35202_1093	ND411	NA	1.72	81.27
