NGI ID	User ID	RC	Mreads	>=Q30
P35202_1094	ND412	NA	1.37	78.70
P35202_1095	ND413	NA	4.70	79.21
P35202_1096	ND414	NA	3.05	80.29
P35202_1097	ND415	NA	2.87	81.39
P35202_1098	ND416	NA	2.88	73.24
P35202_1099	ND417	NA	3.63	78.75
P35202_1100	ND418	NA	2.75	80.89
P35202_1101	ND419	NA	5.49	81.37
P35202_1102	ND420	NA	2.89	80.37
P35202_1103	ND421	NA	4.40	80.37
P35202_1104	ND422	NA	2.18	79.65
P35202_1105	ND423	NA	3.71	81.10
P35202_1106	ND424	NA	4.14	80.51
P35202_1107	ND425	NA	2.90	79.40
P35202_1108	ND426	NA	2.87	79.34
P35202_1109	ND427	NA	2.61	81.02
P35202_1110	ND428	NA	2.94	79.82
P35202_1111	ND429	NA	1.52	77.06
P35202_1112	ND430	NA	2.66	81.15
P35202_1113	ND431	NA	7.27	80.62
P35202_1114	ND432	NA	6.77	80.04
P35202_1115	ND433	NA	4.71	76.04
P35202_1116	ND434	NA	4.10	80.10
P35202_1117	ND435	NA	2.63	79.58
P35202_1118	ND436	NA	7.96	81.30
P35202_1119	ND437	NA	3.33	80.69
P35202_1120	ND438	NA	5.41	80.02
P35202_1121	ND439	NA	3.41	79.26
P35202_1122	ND440	NA	4.29	76.83
P35202_1123	ND441	NA	2.86	75.59
P35202_1124	extr_blank_250225	NA	0.89	80.89
P35202_1125	extr_blank_250305	NA	0.76	75.67
P35202_1126	ND467	NA	5.69	78.09
P35202_1127	ND468	NA	2.71	81.62
P35202_1128	extr_blank_250221	NA	2.20	79.96
P35202_1129	ND345	NA	3.16	81.21
P35202_1130	ND346	NA	0.15	80.19
P35202_1131	ND347	NA	5.41	77.99
P35202_1132	ND348	NA	3.90	80.38
P35202_1133	ND349	NA	2.60	82.05
P35202_1134	ND350	NA	2.22	80.52
P35202_1135	ND351	NA	3.23	79.32
P35202_1136	ND352	NA	3.90	78.84
P35202_1137	ND353	NA	3.93	80.55
P35202_1138	ND354	NA	5.57	78.48
P35202_1139	ND355	NA	1.76	80.59
P35202_1140	ND356	NA	1.35	81.55
P35202_1141	ND357	NA	1.62	80.66
P35202_1142	ND358	NA	4.95	78.39
P35202_1143	ND359	NA	5.82	78.48
P35202_1144	ND360	NA	4.07	80.31
P35202_1145	ND361	NA	2.77	79.68
P35202_1146	ND362	NA	4.12	82.93
P35202_1147	ND363	NA	3.44	80.49
P35202_1148	ND364	NA	2.92	79.26
P35202_1149	ND365	NA	2.94	80.93
P35202_1150	ND366	NA	2.55	81.64
P35202_1151	ND367	NA	7.90	81.86
P35202_1152	ND368	NA	5.84	80.68
P35202_1153	ND369	NA	2.82	81.06
P35202_1154	ND370	NA	3.19	81.60
P35202_1155	ND371	NA	2.16	78.26
P35202_1156	ND372	NA	1.38	78.97
P35202_1157	ND373	NA	2.14	81.28
P35202_1158	ND374	NA	1.85	81.57
P35202_1159	ND375	NA	2.18	79.50
P35202_1160	ND376	NA	2.58	76.25
P35202_1161	ND377	NA	4.72	80.29
P35202_1162	ND378	NA	1.79	78.62
P35202_1163	ND379	NA	4.50	81.29
P35202_1164	ND380	NA	2.47	82.66
P35202_1165	ND381	NA	2.91	81.87
P35202_1166	ND382	NA	1.46	80.65
P35202_1167	ND383	NA	2.01	81.24
P35202_1168	ND384	NA	2.10	79.61
P35202_1169	ND178	NA	4.92	80.17
P35202_1170	ND179	NA	2.11	76.83
P35202_1171	ND180	NA	6.19	78.11
P35202_1172	ND181	NA	2.26	79.83
P35202_1173	ND182	NA	2.61	75.91
P35202_1174	ND200	NA	6.45	82.17
P35202_1175	ND201	NA	3.13	82.03
P35202_1176	lib_blank_240905	NA	0.00	67.58
P35202_1177	ND186	NA	0.04	74.63
P35202_1178	ND187	NA	1.85	78.31
P35202_1179	ND188	NA	3.39	77.69
P35202_1180	ND189	NA	1.10	76.25
P35202_1181	ND190	NA	1.74	77.88
P35202_1182	ND191	NA	0.57	78.52
P35202_1183	ND192	NA	1.80	77.42
P35202_1184	ND193	NA	2.22	79.11
P35202_1185	ND194	NA	6.84	70.32
P35202_1186	ND195	NA	7.06	82.32
P35202_1187	ND196	NA	2.56	77.38
P35202_1188	ND197	NA	2.27	80.40
P35202_1189	ND198	NA	5.09	82.51
P35202_1190	ND199	NA	1.91	82.00
P35202_1191	ND183	NA	3.24	76.56
P35202_1192	ND184	NA	2.03	78.81
P35202_1193	ND202	NA	5.40	82.28
P35202_1194	ND203	NA	3.62	79.97
P35202_1195	ND204	NA	6.72	79.95
P35202_1196	ND205	NA	3.37	79.50
P35202_1197	ND206	NA	3.76	78.87
P35202_1198	ND207	NA	1.39	80.07
P35202_1199	ND208	NA	1.24	81.15
P35202_1200	ND209	NA	1.07	79.46
P35202_1201	ND141	NA	3.22	58.31
P35202_1202	ND142	NA	3.85	71.76
P35202_1203	ND143	NA	5.13	63.00
P35202_1204	ND144	NA	1.36	80.78
P35202_1205	ND145	NA	2.68	55.89
P35202_1206	ND146	NA	3.93	59.58
P35202_1207	ND147	NA	1.31	66.45
P35202_1208	ND148	NA	2.05	77.53
P35202_1209	ND149	NA	1.81	80.54
P35202_1210	ND150	NA	0.43	61.85
P35202_1211	ND151	NA	2.33	78.17
P35202_1212	ND152	NA	1.38	70.71
P35202_1213	ND153	NA	3.95	67.49
P35202_1214	ND154	NA	1.33	72.76
P35202_1215	ND155	NA	1.48	69.91
P35202_1216	ND156	NA	1.29	70.62
P35202_1217	ND157	NA	7.85	80.69
P35202_1218	ND158	NA	4.90	79.96
P35202_1219	ND159	NA	1.75	58.07
P35202_1220	ND160	NA	2.37	74.22
P35202_1221	ND161	NA	2.01	77.49
P35202_1222	ND162	NA	2.89	73.39
P35202_1223	ND163	NA	1.74	75.99
P35202_1224	ND164	NA	0.50	79.25
P35202_1225	ND165	NA	8.34	80.66
P35202_1226	ND166	NA	5.75	81.11
P35202_1227	ND167	NA	5.35	77.35
P35202_1228	ND168	NA	1.75	78.27
P35202_1229	ND169	NA	5.95	78.24
P35202_1230	ND170	NA	4.81	80.69
P35202_1231	ND171	NA	6.22	78.29
P35202_1232	ND172	NA	5.00	69.45
P35202_1233	ND173	NA	4.97	67.64
P35202_1234	ND175	NA	2.57	71.50
P35202_1235	ND176	NA	3.36	68.98
P35202_1236	ND177	NA	3.29	67.69
P35202_1237	ND185	NA	2.76	72.17
P35202_1238	ND210	NA	1.00	81.63
P35202_1239	ND211	NA	1.36	77.89
P35202_1240	ND212	NA	0.92	80.09
P35202_1241	ND213	NA	0.99	79.61
P35202_1242	ND214	NA	1.18	76.45
P35202_1243	ND215	NA	0.93	75.23
P35202_1244	ND216	NA	0.17	75.99
P35202_1245	ND217	NA	1.12	78.34
P35202_1246	ND218	NA	0.55	74.56
P35202_1247	ND219	NA	1.52	69.74
P35202_1248	ND220	NA	1.29	71.67
P35202_1249	ND221	NA	1.35	71.34
P35202_1250	ND222	NA	1.86	71.68
P35202_1251	ND223	NA	1.40	75.97
P35202_1252	ND224	NA	1.32	68.88
P35202_1253	ND225	NA	3.82	62.75
P35202_1254	ND226	NA	2.48	78.16
P35202_1255	ND227	NA	1.54	77.66
P35202_1256	ND228	NA	2.60	78.80
P35202_1257	ND229	NA	2.92	66.87
P35202_1258	ND230	NA	1.50	72.95
P35202_1259	ND231	NA	1.68	73.67
P35202_1260	ND232	NA	1.18	73.41
P35202_1261	ND233	NA	2.08	67.37
P35202_1262	ND234	NA	1.67	74.55
P35202_1263	ND235	NA	2.54	69.25
P35202_1264	ND236	NA	3.29	63.74
P35202_1265	ND237	NA	2.09	62.65
P35202_1266	ND238	NA	2.80	73.55
P35202_1267	ND239	NA	2.15	68.11
P35202_1268	ND240	NA	2.15	70.11
P35202_1269	ND241	NA	1.62	67.72
P35202_1270	ND242	NA	1.94	72.93
P35202_1271	ND243	NA	2.59	68.88
P35202_1272	ND244	NA	3.51	67.21
P35202_1273	ND245	NA	2.95	75.48
P35202_1274	ND246	NA	2.33	68.86
P35202_1275	ND247	NA	4.38	67.15
P35202_1276	ND248	NA	2.36	69.43
P35202_1277	ND249	NA	1.56	65.85
P35202_1278	ND250	NA	1.58	69.60
P35202_1279	ND251	NA	3.94	69.77
P35202_1280	ND252	NA	4.06	69.77
P35202_1281	ND253	NA	3.63	72.13
P35202_1282	ND254	NA	4.61	68.63
P35202_1283	ND255	NA	2.63	66.39
P35202_1284	ND256	NA	2.57	69.97
P35202_1285	ND257	NA	4.22	72.93
P35202_1286	ND258	NA	2.50	75.55
P35202_1287	ND259	NA	1.87	69.12
P35202_1288	ND260	NA	2.79	75.29
P35202_1289	ND261	NA	2.78	70.52
P35202_1290	ND262	NA	2.83	70.86
P35202_1291	ND263	NA	3.51	68.79
P35202_1292	ND264	NA	3.62	71.29
P35202_1293	ND265	NA	3.12	74.52
P35202_1294	ND266	NA	4.74	70.95
P35202_1295	ND267	NA	2.87	65.69
P35202_1296	ND268	NA	2.59	67.12
P35202_1297	ND269	NA	3.91	74.22
P35202_1298	ND270	NA	2.75	81.22
P35202_1299	ND271	NA	2.71	70.57
P35202_1300	ND272	NA	2.37	72.30
P35202_1301	ND273	NA	3.59	66.79
P35202_1302	ND274	NA	3.11	80.74
P35202_1303	ND275	NA	2.14	81.79
P35202_1304	ND276	NA	2.00	80.78
P35202_1305	ND277	NA	2.35	81.08
P35202_1306	ND278	NA	2.33	80.16
P35202_1307	ND279	NA	3.62	78.74
P35202_1308	ND280	NA	3.34	79.81
P35202_1309	ND281	NA	3.00	81.17
P35202_1310	ND282	NA	0.03	79.94
P35202_1311	ND283	NA	4.06	81.73
P35202_1312	ND284	NA	3.35	76.38
P35202_1313	ND285	NA	3.63	70.75
P35202_1314	ND286	NA	2.98	72.80
P35202_1315	ND287	NA	4.04	70.96
P35202_1316	ND288	NA	3.93	71.42
P35202_1317	ND289	NA	2.28	70.94
P35202_1318	ND290	NA	3.04	73.49
P35202_1319	ND291	NA	3.35	70.51
P35202_1320	ND292	NA	3.24	73.73
P35202_1321	ND293	NA	3.28	74.01
P35202_1322	ND294	NA	3.08	67.75
P35202_1323	ND295	NA	2.95	78.48
P35202_1324	ND296	NA	3.15	68.20
P35202_1325	ND297	NA	2.54	71.10
P35202_1326	ND298	NA	1.68	65.76
P35202_1327	ND299	NA	3.25	62.52
P35202_1328	ND300	NA	2.74	65.25
P35202_1329	ND301	NA	5.03	60.99
P35202_1330	ND302	NA	3.44	65.93
P35202_1331	ND303	NA	3.54	65.55
P35202_1332	ND304	NA	4.71	66.70
P35202_1333	ND305	NA	2.82	67.07
P35202_1334	ND306	NA	1.90	68.40
P35202_1335	ND307	NA	4.12	66.18
P35202_1336	ND308	NA	5.59	65.24
P35202_1337	ND309	NA	4.77	65.41
P35202_1338	ND310	NA	4.75	68.78
P35202_1339	ND311	NA	3.99	74.55
P35202_1340	ND312	NA	0.00	67.04
P35202_1341	ND313	NA	5.24	73.38
P35202_1342	ND314	NA	0.00	68.07
P35202_1343	ND315	NA	4.79	76.99
P35202_1344	ND316	NA	0.00	59.55
P35202_1345	ND457	NA	1.78	80.96
P35202_1346	ND458	NA	4.16	83.15
P35202_1347	ND458x	NA	5.05	81.11
P35202_1348	ND459	NA	5.33	76.62
P35202_1349	ND460	NA	5.85	78.04
P35202_1350	ND461	NA	3.58	78.30
P35202_1351	ND462	NA	16.29	79.49
P35202_1352	ND463	NA	12.14	78.82
P35202_1353	ND330	NA	5.60	72.02
P35202_1354	ND331	NA	3.94	68.88
P35202_1355	ND339	NA	4.74	66.64
P35202_1356	ND340	NA	4.00	68.95
P35202_1357	ND341	NA	5.26	66.51
P35202_1358	ND342	NA	9.08	74.97
P35202_1359	ND343	NA	8.61	77.94
P35202_1360	lib_blank_250207	NA	0.01	70.61
P35202_2001	unknown1		4.53	77.30
P35202_2002	unknown2		3.80	71.62
P35202_2003	unknown3		2.87	71.03
